Date,Sector,Universe Gross Sales EUR M,Universe Net Sales EUR M
01/03/2010,Sector_117,4.8995379,13.33094118
01/03/2010,Sector_118,2082.274056,1031.733879
01/03/2010,Sector_119,332.830784,257.8358563
01/03/2010,Sector_120,2.20174773,-1.92124713
01/03/2010,Sector_121,13.53939589,-4.18666694
01/03/2010,Sector_122,1440.815118,584.427618
01/03/2010,Sector_123,60.91667728,43.9907686
01/03/2010,Sector_124,72.70183463,9.8196776
01/03/2010,Sector_125,0,0
01/03/2010,Sector_128,265.5051122,191.1520831
01/03/2010,Sector_129,9.83137933,-20.44830123
01/03/2010,Sector_132,3.89825796,-7.40128106
01/03/2010,Sector_133,1.98630781,1.72926445
01/03/2010,Sector_135,88.6556483,4.81407986
01/03/2010,Sector_136,35.7652997,19.0514997
01/03/2010,Sector_137,16.83138839,-26.27240662
01/03/2010,Sector_138,48.90421025,6.2727324
01/03/2010,Sector_139,202.6240772,111.2063324
01/03/2010,Sector_140,109.1295997,23.60307762
01/03/2010,Sector_141,47.9585194,24.03306667
01/03/2010,Sector_142,15.53908735,-6.36636831
01/03/2010,Sector_143,44.96930198,16.07758885
01/03/2010,Sector_144,8.2715356,5.89369017
01/03/2010,Sector_145,81.46664557,18.94066209
01/03/2010,Sector_146,252.6706751,132.8934314
01/03/2010,Sector_147,18.45213293,10.5225515
01/03/2010,Sector_148,13.2544807,-1.20275365
01/03/2010,Sector_149,116.620186,0.89394854
01/03/2010,Sector_150,82.20283561,55.76625868
01/03/2010,Sector_151,389.5211291,73.18405904
01/03/2010,Sector_152,1270.311954,-305.4929834
01/03/2010,Sector_153,143.5598998,29.15280848
01/03/2010,Sector_154,140.7642719,-42.95546718
01/03/2010,Sector_155,0.10274786,0.03379708
01/03/2010,Sector_156,165.1335965,89.80808179
01/03/2010,Sector_157,36.82697441,22.37896358
01/03/2010,Sector_158,0.29518844,-8.27038695
01/03/2010,Sector_159,52.84724173,-19.5881285
01/03/2010,Sector_160,15.27416919,-20.56582633
01/03/2010,Sector_161,2.90619857,0.0956201
01/03/2010,Sector_162,59.14748922,44.03698545
01/03/2010,Sector_163,118.3365427,9.40036849
01/03/2010,Sector_164,0.81497739,-1.99208695
01/03/2010,Sector_165,0.00590109,-0.18058463
01/03/2010,Sector_166,50.87310276,-12.39832393
01/03/2010,Sector_167,2.61971616,-3.2515917
01/03/2010,Sector_168,1880.510569,1040.880091
01/03/2010,Sector_169,153.1409623,23.28311848
01/03/2010,Sector_170,32.35902909,17.19008612
01/03/2010,Sector_171,123.9166858,92.42466486
01/03/2010,Sector_174,166.6550755,107.9257845
01/03/2010,Sector_175,1.30029167,-4.38298835
01/03/2010,Sector_176,30.53286221,-3.77004321
01/04/2010,Sector_0,45.24950374,-44.60770321
01/04/2010,Sector_1,240.5665171,167.540428
01/04/2010,Sector_2,10.9645637,-4.56464139
01/04/2010,Sector_3,37.54899314,15.7949674
01/04/2010,Sector_4,0.0116391,-0.01700823
01/04/2010,Sector_5,15.65326901,-1.04819714
01/04/2010,Sector_6,1.73751786,-3.10858236
01/04/2010,Sector_7,250.2317804,46.148835
01/04/2010,Sector_8,440.5454043,342.9660509
01/04/2010,Sector_9,146.9181706,123.6438544
01/04/2010,Sector_10,2.04935977,1.75661648
01/04/2010,Sector_11,0.14173759,0.11152192
01/04/2010,Sector_12,66.71083259,68.83256219
01/04/2010,Sector_13,0,21.41386723
01/04/2010,Sector_14,0.43570111,-0.92307412
01/04/2010,Sector_15,5.81138325,3.2706535
01/04/2010,Sector_16,450.2077451,-119.593561
01/04/2010,Sector_17,427.9682163,286.6956327
01/04/2010,Sector_18,1475.735346,796.9935085
01/04/2010,Sector_19,73.97012768,35.25049253
01/04/2010,Sector_20,1485.477067,616.0153754
01/04/2010,Sector_21,1946.282428,1143.965107
